"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","Results per page"
"%s-%s of %s","%s-%s of %s"
"###","Catalog Module"
"Filter","Filter"
"View Details","View Details"
"Share on Facebook","Share on Facebook"
"Share on Twitter","Share on Twitter"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Are you sure you want to leave this page? You will need to go through the checkout steps again."
"Zip/Postal Code","Zip"
"Discount Codes?","Discount Codes?"
"###","Customer Module"
"Registration is free and easy!","Registration is free and easy!"
"Faster checkout","Faster checkout"
"Save multiple shipping addresses","Save multiple shipping addresses"
"View and track orders and more","View and track orders and more"
"THE ACADEMY","关于ACADEMY"
"COOKING CLASS","会员活动"
"SCHEDULE","活动时间表"
"MEMBERSHIP","会员"
"THE CREW","专家介绍"
"CONTACT","联系我们"
"SHOPPING BAG","购物车"
"LOGIN","登录"
"BAG","购物车"
"Forgot password","忘记密码？"
"CREATE A NEW ACCOUNT","创建新的账号"
"Mobile Phone","手机号码"
"Verify","获取验证码"
"Verification Code has been sent, please enter it blow","验证码已经成功发送到您的手机。"
"Verifiction","验证码"
"Email","邮箱"
"Password","密码"
"Confirm","确认密码"
"Agree to Anti-spam Policy & Terms of Use","是否同意用户协议"
"REGISTER","注册"
"User name","用户名"
"PROFILE","个人信息"
"CURRENT LEVEL","当前等级"
"INVITE A FRIEND","邀请朋友"
"NAME","姓名"
"EMAIL","邮箱"
"PHONE NUMBER","电话号码"
"NOTE","备注"
"SUBMIT","提交"
"BUY CREDITS","购买课点"
"LOGOUT","退出"
"ORDER NO.","订单号"
"DATE","日期"
"TITLE","名称"
"LOCATION","地点"
"STATUS","状态"
"CANCEL","取消"
"BASIC INFOMATION","基本信息"
"PAST ACTIVITIES","已过期课程"
"AVAILABLE COURSES","可预定课程"
"COMING ACTIVITIES","即将到来的课程"
"REVIEWED","已评论"
"DETAIL","详情"
"LEARN MORE","了解更多"
"REVIEW","评论"
"SEND","发送"
"EDIT","修改"
